DATE,PAYEMS_CHG_20220107,PAYEMS_CHG_20210205,PAYEMS_CHG_20210305,PAYEMS_CHG_20210402,PAYEMS_CHG_20210507,PAYEMS_CHG_20210604,PAYEMS_CHG_20210702,PAYEMS_CHG_20210806,PAYEMS_CHG_20210903,PAYEMS_CHG_20211008,PAYEMS_CHG_20211105,PAYEMS_CHG_20211203
1946-04-01,718,718,718,718,718,718,718,718,718,718,718,718
1946-05-01,436,436,436,436,436,436,436,436,436,436,436,436
1946-06-01,386,386,386,386,386,386,386,386,386,386,386,386
1946-07-01,418,418,418,418,418,418,418,418,418,418,418,418
1946-08-01,489,489,489,489,489,489,489,489,489,489,489,489
1946-09-01,273,273,273,273,273,273,273,273,273,273,273,273
1946-10-01,178,178,178,178,178,178,178,178,178,178,178,178
1946-11-01,302,302,302,302,302,302,302,302,302,302,302,302
1946-12-01,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16
1947-01-01,156,156,156,156,156,156,156,156,156,156,156,156
1947-02-01,22,22,22,22,22,22,22,22,22,22,22,22
1947-03-01,50,50,50,50,50,50,50,50,50,50,50,50
1947-04-01,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108
1947-05-01,139,139,139,139,139,139,139,139,139,139,139,139
1947-06-01,172,172,172,172,172,172,172,172,172,172,172,172
1947-07-01,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67
1947-08-01,217,217,217,217,217,217,217,217,217,217,217,217
1947-09-01,243,243,243,243,243,243,243,243,243,243,243,243
1947-10-01,208,208,208,208,208,208,208,208,208,208,208,208
1947-11-01,73,73,73,73,73,73,73,73,73,73,73,73
1947-12-01,97,97,97,97,97,97,97,97,97,97,97,97
1948-01-01,98,98,98,98,98,98,98,98,98,98,98,98
1948-02-01,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146
1948-03-01,150,150,150,150,150,150,150,150,150,150,150,150
1948-04-01,-304,-304,-304,-304,-304,-304,-304,-304,-304,-304,-304,-304
1948-05-01,417,417,417,417,417,417,417,417,417,417,417,417
1948-06-01,238,238,238,238,238,238,238,238,238,238,238,238
1948-07-01,126,126,126,126,126,126,126,126,126,126,126,126
1948-08-01,18,18,18,18,18,18,18,18,18,18,18,18
1948-09-01,116,116,116,116,116,116,116,116,116,116,116,116
